sunday,asset,tz,price_09,max_offset_min,price_12,pct_12,price_13,pct_13,price_14,pct_14,price_15,pct_15,price_16,pct_16,price_17,pct_17,price_18,pct_18,price_19,pct_19,price_20,pct_20,price_21,pct_21,price_22,pct_22,price_23,pct_23,price_24,pct_24
2025-04-20,SOL,EDT,136.9200,0,135.9400,-0.7157,136.9300,0.0073,136.3600,-0.4090,136.4800,-0.3214,137.1900,0.1972,137.2500,0.2410,137.5000,0.4236,136.7800,-0.1022,137.8600,0.6865,141.1900,3.1186,141.7000,3.4911,140.2200,2.4102,139.3900,1.8040
2025-04-27,BTC,EDT,93765.0000,0,93937.0000,0.1834,93911.0000,0.1557,94080.0000,0.3359,94318.0000,0.5898,94470.0000,0.7519,94305.0000,0.5759,94374.0000,0.6495,93970.0000,0.2186,93780.0000,0.0160,93433.0000,-0.3541,92973.0000,-0.8447,93651.0000,-0.1216,93875.0000,0.1173
2025-04-27,SOL,EDT,147.8300,0,149.0200,0.8050,148.5700,0.5006,149.1800,0.9132,149.7300,1.2853,150.0200,1.4814,148.7400,0.6156,149.3400,1.0214,148.5400,0.4803,147.9700,0.0947,147.0500,-0.5276,144.9800,-1.9279,146.0900,-1.1770,148.3800,0.3720
2025-05-04,BTC,EDT,95484.0000,0,95475.0000,-0.0094,95354.0000,-0.1361,95415.0000,-0.0723,95401.0000,-0.0869,95594.0000,0.1152,95731.0000,0.2587,95698.0000,0.2241,95027.0000,-0.4786,94301.0000,-1.2390,94723.0000,-0.7970,93928.0000,-1.6296,94245.0000,-1.2976,94074.0000,-1.4767
2025-05-04,SOL,EDT,145.5400,0,146.8300,0.8864,146.8300,0.8864,147.1700,1.1200,146.5600,0.7008,146.1800,0.4397,146.9600,0.9757,147.0900,1.0650,145.1600,-0.2611,143.9400,-1.0994,145.1600,-0.2611,143.2200,-1.5941,144.7600,-0.5359,144.9100,-0.4329
2025-05-11,BTC,EDT,104612.0000,0,104163.0000,-0.4292,104010.0000,-0.5755,104063.0000,-0.5248,104564.0000,-0.0459,104465.0000,-0.1405,104319.0000,-0.2801,104407.0000,-0.1960,103838.0000,-0.7399,104138.0000,-0.4531,104634.0000,0.0210,104009.0000,-0.5764,103907.0000,-0.6739,104104.0000,-0.4856
2025-05-11,SOL,EDT,174.0600,0,170.4800,-2.0568,170.5300,-2.0280,171.8900,-1.2467,172.6700,-0.7986,172.7200,-0.7698,172.3400,-0.9882,173.1600,-0.5171,171.9500,-1.2122,173.2000,-0.4941,174.5100,0.2585,173.7400,-0.1838,174.0000,-0.0345,174.9000,0.4826
2025-05-18,BTC,EDT,103970.0000,0,105550.0000,1.5197,105840.0000,1.7986,104884.0000,0.8791,104548.0000,0.5559,103912.0000,-0.0558,104117.0000,0.1414,104252.0000,0.2712,105975.0000,1.9284,106520.0000,2.4526,105284.0000,1.2638,105078.0000,1.0657,104655.0000,0.6588,103639.0000,-0.3184
2025-05-18,SOL,EDT,171.6800,0,176.2600,2.6678,175.8500,2.4289,172.2500,0.3320,170.2500,-0.8329,166.6400,-2.9357,167.1600,-2.6328,167.5700,-2.3940,170.1000,-0.9203,173.3000,0.9436,168.0600,-2.1086,167.8300,-2.2425,166.8300,-2.8250,165.3500,-3.6871
2025-05-25,BTC,EDT,107538.0000,0,107000.0000,-0.5003,107227.0000,-0.2892,107406.0000,-0.1227,107449.0000,-0.0828,107759.0000,0.2055,107700.0000,0.1506,107510.0000,-0.0260,109219.0000,1.5632,109114.0000,1.4655,109596.0000,1.9137,109586.0000,1.9044,109438.0000,1.7668,109678.0000,1.9900
2025-05-25,SOL,EDT,172.5900,0,170.2900,-1.3326,170.0700,-1.4601,170.9600,-0.9444,171.6400,-0.5504,172.5300,-0.0348,171.9200,-0.3882,171.5200,-0.6200,174.8900,1.3326,175.7500,1.8309,177.5600,2.8797,176.5400,2.2887,176.0700,2.0163,177.0200,2.5668
2025-06-01,BTC,EDT,104015.0000,0,104758.0000,0.7143,105099.0000,1.0422,105123.0000,1.0652,104940.0000,0.8893,105175.0000,1.1152,105009.0000,0.9556,105550.0000,1.4757,105567.0000,1.4921,105677.0000,1.5978,105483.0000,1.4113,105451.0000,1.3806,105088.0000,1.0316,104900.0000,0.8508
2025-06-01,SOL,EDT,151.0900,0,154.1800,2.0451,155.8800,3.1703,156.3300,3.4681,154.7200,2.4025,155.8800,3.1703,155.6800,3.0379,156.9000,3.8454,157.2000,4.0439,157.6800,4.3616,157.8100,4.4477,158.0600,4.6131,156.8600,3.8189,155.4600,2.8923
2025-06-08,BTC,EDT,105746.0000,0,106046.0000,0.2837,106228.0000,0.4558,106154.0000,0.3858,106363.0000,0.5835,106357.0000,0.5778,106207.0000,0.4360,106396.0000,0.6147,105795.0000,0.0463,105791.0000,0.0426,105745.0000,-0.0009,105578.0000,-0.1589,105613.0000,-0.1258,105697.0000,-0.0463
2025-06-08,SOL,EDT,149.5400,0,150.6900,0.7690,152.2100,1.7855,153.1500,2.4141,153.8600,2.8889,154.4700,3.2968,154.2700,3.1630,154.4200,3.2633,152.9400,2.2736,152.4500,1.9460,152.3800,1.8992,151.9600,1.6183,151.7200,1.4578,151.5400,1.3374
2025-06-15,BTC,EDT,105310.0000,0,105605.0000,0.2801,105593.0000,0.2687,105721.0000,0.3903,105504.0000,0.1842,105324.0000,0.0133,104739.0000,-0.5422,104799.0000,-0.4852,105295.0000,-0.0142,105612.0000,0.2868,105457.0000,0.1396,105825.0000,0.4890,105806.0000,0.4710,105943.0000,0.6011
2025-06-15,SOL,EDT,147.6800,0,150.8400,2.1398,151.9400,2.8846,152.2400,3.0878,152.7000,3.3992,152.2300,3.0810,148.8400,0.7855,150.5400,1.9366,152.0700,2.9726,152.9700,3.5821,152.0100,2.9320,156.5500,6.0062,155.7100,5.4374,155.5900,5.3562
2025-06-22,BTC,EDT,102790.0000,0,98954.0000,-3.7319,99688.0000,-3.0178,99519.0000,-3.1822,99467.0000,-3.2328,98923.0000,-3.7620,99584.0000,-3.1190,99209.0000,-3.4838,101028.0000,-1.7142,100990.0000,-1.7511,100966.0000,-1.7745,101139.0000,-1.6062,101301.0000,-1.4486,101226.0000,-1.5215
2025-06-22,SOL,EDT,133.5300,0,128.5600,-3.7220,129.8100,-2.7859,130.4800,-2.2841,129.4300,-3.0705,129.0700,-3.3401,129.5500,-2.9806,129.0200,-3.3775,132.1500,-1.0335,131.7100,-1.3630,132.5300,-0.7489,133.0500,-0.3595,132.8400,-0.5167,132.6700,-0.6441
2025-06-29,BTC,EDT,108228.0000,0,107790.0000,-0.4047,107589.0000,-0.5904,107579.0000,-0.5997,107677.0000,-0.5091,107412.0000,-0.7540,107394.0000,-0.7706,107560.0000,-0.6172,108105.0000,-0.1136,108389.0000,0.1488,108741.0000,0.4740,108554.0000,0.3012,108517.0000,0.2670,108559.0000,0.3058
2025-06-29,SOL,EDT,151.8600,0,150.7600,-0.7244,150.5100,-0.8890,151.4200,-0.2897,151.8800,0.0132,151.1900,-0.4412,150.8500,-0.6651,151.6700,-0.1251,152.9100,0.6914,153.3200,0.9614,152.5900,0.4807,152.0400,0.1185,152.0100,0.0988,151.7700,-0.0593
2025-07-06,BTC,EDT,108272.0000,0,108926.0000,0.6040,108878.0000,0.5597,108933.0000,0.6105,108482.0000,0.1940,108573.0000,0.2780,108712.0000,0.4064,109240.0000,0.8940,109265.0000,0.9171,109231.0000,0.8857,108846.0000,0.5301,109051.0000,0.7195,109391.0000,1.0335,109409.0000,1.0501
2025-07-06,SOL,EDT,149.0200,0,151.5300,1.6843,153.1100,2.7446,152.4800,2.3218,151.3900,1.5904,151.2800,1.5166,151.4500,1.6307,152.2400,2.1608,152.4800,2.3218,151.8600,1.9058,151.1200,1.4092,151.2300,1.4830,152.0400,2.0266,151.8600,1.9058
2025-07-13,BTC,EDT,118454.0000,0,118723.0000,0.2271,118567.0000,0.0954,118747.0000,0.2474,119027.0000,0.4837,119004.0000,0.4643,119103.0000,0.5479,118692.0000,0.2009,118578.0000,0.1047,119140.0000,0.5791,119126.0000,0.5673,119140.0000,0.5791,119687.0000,1.0409,120772.0000,1.9569
2025-07-13,SOL,EDT,162.6700,0,162.0400,-0.3873,160.9300,-1.0697,162.6800,0.0061,163.0800,0.2520,162.5300,-0.0861,162.5600,-0.0676,160.5500,-1.3033,160.7900,-1.1557,161.1500,-0.9344,161.6400,-0.6332,162.8000,0.0799,164.9000,1.3709,167.1100,2.7295
